Постоянная группа,Группа,Кол-во студентов,"Доля в постоянной группе, %"
АМБ-2024-11,АМБ-311,35,100.0
АМБ-2024-12,АМБ-212,1,100.0
АМБ-2025-11,АМБ-111,1,3.3
АМБ-2025-11,АМБ-211,29,96.7
АМБ-2025-12,АМБ-112,3,15.8
АМБ-2025-12,АМБ-212,16,84.2
АМБ-2026-11,АМБ-111,32,100.0
АМБ-2026-12,АМБ-112,32,100.0
АЭБ-2026-11,АЭБ-111,47,100.0
ВВП-2023-11,ВВП-311,1,5.3
ВВП-2023-11,ВВП-411,18,94.7
ВВП-2024-11,ВВП-211,1,4.5
ВВП-2024-11,ВВП-311,21,95.5
ВВП-2025-11,ВВП-111,2,6.7
ВВП-2025-11,ВВП-211,28,93.3
ВГТ-2023-11,ВГТ-411,13,100.0
ВГТ-2024-11,ВГТ-311,12,100.0
ВГТ-2025-11,ВГТ-111,1,3.6
ВГТ-2025-11,ВГТ-211,27,96.4
ВГТ-2026-11,ВГТ-111,38,100.0
ВЖД-2021-51,СТП-651,10,100.0
ВЖД-2022-51,СТП-451,1,12.5
ВЖД-2022-51,СТП-551,7,87.5
ВПЛ-2021-51,ТПЛ-651,4,100.0
ВПЛ-2022-51,ВПЛ-151,1,12.5
ВПЛ-2022-51,ТПЛ-451,5,62.5
ВПЛ-2022-51,ТПЛ-551,2,25.0
ВСВ-2022-41,ВСВ-441,1,3.4
ВСВ-2022-41,ВСВ-541,28,96.6
ВСВ-2023-41,ВСВ-341,1,5.6
ВСВ-2023-41,ВСВ-441,17,94.4
ВСВ-2023-42,ВСВ-342,1,5.0
ВСВ-2023-42,ВСВ-442,19,95.0
ВСВ-2024-41,ВСВ-341,25,100.0
ВСВ-2025-41,ВСВ-141,4,12.1
ВСВ-2025-41,ВСВ-241,29,87.9
ВСВ-2026-41,ВСВ-141,30,100.0
ВСМ-2022-41,ВСМ-541,9,100.0
ВСМ-2023-41,ВСМ-441,15,100.0
ВСМ-2024-41,ВСМ-141,1,4.8
ВСМ-2024-41,ВСМ-241,1,4.8
ВСМ-2024-41,ВСМ-341,19,90.5
ВСМ-2025-41,ВСМ-141,3,13.0
ВСМ-2025-41,ВСМ-241,20,87.0
ВСМ-2026-41,ВСМ-141,30,100.0
ВСС-2022-41,ВСС-541,17,100.0
ВУП-2022-21,ТУП-521,14,100.0
ВУП-2026-11,ВУП-111,34,100.0
ВУТ-2022-11,ВУТ-411,2,100.0
ВУТ-2023-11,ВУТ-411,25,100.0
ВУТ-2024-11,ВУТ-311,32,100.0
ВУТ-2025-11,ВУТ-111,1,3.4
ВУТ-2025-11,ВУТ-211,28,96.6
ВУТ-2026-11,ВУТ-111,33,100.0
ВУЦ-2020-21,ВУЦ-521,1,100.0
ВЭО-2022-41,ВЭО-441,2,9.1
ВЭО-2022-41,ВЭО-541,20,90.9
ВЭО-2023-41,ВЭО-441,13,100.0
ВЭО-2024-41,ВЭО-341,18,100.0
ВЭО-2025-41,ВЭО-141,1,3.8
ВЭО-2025-41,ВЭО-241,25,96.2
ВЭО-2026-41,ВЭО-141,29,100.0
ДДА-2023-11,ДДА-411,19,100.0
ДДА-2024-11,ДДА-311,32,100.0
ДДА-2025-11,ДДА-211,28,100.0
ДДА-2026-11,ДДА-111,34,100.0
ДДА-2026-12,ДДА-112,35,100.0
ДДС-2023-41,ДДС-441,30,100.0
ДДС-2024-41,ДДС-341,23,100.0
ДДС-2025-41,ДДС-141,1,4.3
ДДС-2025-41,ДДС-241,22,95.7
ДДС-2026-41,ДДС-141,35,100.0
ЛМБ-2023-11,АМБ-411,11,100.0
ОМКк-2023-11,ОМКк-311,1,3.0
ОМКк-2023-11,ОМКк-411,32,97.0
ОМКк-2023-12,ОМКк-412,18,100.0
ОМКк-2024-11,ОМКк-211,1,3.0
ОМКк-2024-11,ОМКк-311,32,97.0
ОМКк-2024-12,ОМКк-212,1,7.7
ОМКк-2024-12,ОМКк-312,12,92.3
ОМКк-2025-11,ОМКк-111,1,3.6
ОМКк-2025-11,ОМКк-211,27,96.4
ОМКк-2026-11,ОМКк-111,32,100.0
ОММ-2021-21,ОММ-521,1,100.0
ОММ-2022-21,ОММ-521,22,100.0
ОММ-2023-21,ОММ-321,1,5.3
ОММ-2023-21,ОММ-421,18,94.7
ОММ-2024-21,ОММ-221,2,11.1
ОММ-2024-21,ОММ-321,16,88.9
ОММ-2025-11,ОММ-211,21,100.0
ОММ-2025-21,ОММ-121,1,12.5
ОММ-2025-21,ОММ-221,7,87.5
ОММ-2026-11,ОММ-111,32,100.0
ОММ-2026-21,ОММ-121,27,100.0
ОММу-2023-21,ОММу-421,23,100.0
ОММу-2024-21,ОММу-321,10,100.0
ОММу-2025-21,ОММу-121,4,21.1
ОММу-2025-21,ОММу-221,15,78.9
ОМН-2022-11,ОМН-311,1,100.0
ОМН-2023-11,ОМН-111,1,3.2
ОМН-2023-11,ОМН-411,30,96.8
ОМНк-2024-11,ОМНк-211,2,6.7
ОМНк-2024-11,ОМНк-311,28,93.3
ОМНк-2025-11-1,ОМНк-211,32,100.0
ОМНк-2025-12-1,ОМНк-212,30,100.0
ОМНк-2026-11,ОМНк-111,66,100.0
ОМО-2022-11,ОМО-411,1,100.0
ОМО-2023-11,ОМО-311,2,5.6
ОМО-2023-11,ОМО-411,34,94.4
ОМО-2024-11,ОМО-211,1,2.9
ОМО-2024-11,ОМО-311,33,97.1
ОМО-2024-12,ОМО-312,3,100.0
ОМО-2025-11,ОМО-111,2,9.1
ОМО-2025-11,ОМО-211,20,90.9
ОМО-2025-12,ОМО-212,21,100.0
ОМО-2026-11,ОМО-111,30,100.0
ППС-2024-41,ППС-541,17,100.0
ППС-2025-42,ППС-542,15,100.0
ППС-2026-41,ППС-141,37,100.0
ПРС-2024-41,ПРС-541,14,100.0
ПРС-2025-42,ПРС-542,21,100.0
ПРС-2025-43,ПРС-543,24,100.0
ПСЭ-2024-41,ПСЭ-541,14,100.0
ПСЭ-2025-42,ПСЭ-542,18,100.0
ПСЭ-2026-41,ПСЭ-141,31,100.0
САП-2023-11,САП-411,27,100.0
