name,category
Информационные системы,Цифровые технологии и ИТ
Кибербезопасность,Цифровые технологии и ИТ
Искусственный интеллект,Цифровые технологии и ИТ
Данные и бизнес-аналитика,Цифровые технологии и ИТ
Цифровая инженерия,Цифровые технологии и ИТ
Автоматизация,Цифровые технологии и ИТ
Матмоделирование,Цифровые технологии и ИТ
Транспортные системы,Транспорт и логистика
Логистика,Транспорт и логистика
Организация перевозок,Транспорт и логистика
Дорожное строительство,Транспорт и логистика
Железная дорога,Транспорт и логистика
Автотранспорт,Транспорт и логистика
Водный транспорт,Транспорт и логистика
Авиация,Транспорт и логистика
Строительство,Инженерные и технические направления
Машиностроение,Инженерные и технические направления
Робототехника и мехатроника,Инженерные и технические направления
Электроэнергетика,Инженерные и технические направления
Теплоэнергетика,Инженерные и технические направления
Инженерная безопасность,Инженерные и технические направления
Экология и среда,Инженерные и технические направления
Экономика,"Экономика, управление, гуманитарный блок"
Менеджмент,"Экономика, управление, гуманитарный блок"
ГМУ,"Экономика, управление, гуманитарный блок"
Право,"Экономика, управление, гуманитарный блок"

