level,code,name
бакалавриат,01.03.01,Математика
бакалавриат,01.03.02,Прикладная математика и информатика
бакалавриат,01.03.03,Механика и математическое моделирование
бакалавриат,01.03.04,Прикладная математика
бакалавриат,01.03.05,Статистика
бакалавриат,02.03.01,Математика и компьютерные науки
бакалавриат,02.03.02,Фундаментальные информатика и информационные технологии
бакалавриат,02.03.03,Математическое обеспечение и администрирование информационных систем
бакалавриат,03.03.01,Прикладные математика и физика
бакалавриат,03.03.02,Физика
бакалавриат,03.03.03,Радиофизика
бакалавриат,04.03.01,Химия
бакалавриат,04.03.02,"Химия, физика и механика материалов"
бакалавриат,05.03.01,Геология
бакалавриат,05.03.02,География
бакалавриат,05.03.03,Картография и геоинформатика
бакалавриат,05.03.04,Гидрометеорология
бакалавриат,05.03.05,Прикладная гидрометеорология
бакалавриат,05.03.06,Экология и природопользование
бакалавриат,06.03.01,Биология
бакалавриат,06.03.02,Почвоведение
бакалавриат,07.03.01,Архитектура
бакалавриат,07.03.02,Реконструкция и реставрация архитектурного наследия
бакалавриат,07.03.03,Дизайн архитектурной среды
бакалавриат,07.03.04,Градостроительство
бакалавриат,08.03.01,Строительство
бакалавриат,09.03.01,Информатика и вычислительная техника
бакалавриат,09.03.02,Информационные системы и технологии
бакалавриат,09.03.03,Прикладная информатика
бакалавриат,09.03.04,Программная инженерия
бакалавриат,10.03.01,Информационная безопасность
бакалавриат,11.03.01,Радиотехника
бакалавриат,11.03.02,Инфокоммуникационные технологии и системы связи
бакалавриат,11.03.03,Конструирование и технология электронных средств
бакалавриат,11.03.04,Электроника и наноэлектроника
бакалавриат,12.03.01,Приборостроение
бакалавриат,12.03.02,Оптотехника
бакалавриат,12.03.03,Фотоника и оптоинформатика
бакалавриат,12.03.04,Биотехнические системы и технологии
бакалавриат,12.03.05,Лазерная техника и лазерные технологии
бакалавриат,13.03.01,Теплоэнергетика и теплотехника
бакалавриат,13.03.02,Электроэнергетика и электротехника
бакалавриат,13.03.03,Энергетическое машиностроение
бакалавриат,14.03.01,Ядерная энергетика и теплофизика
бакалавриат,14.03.02,Ядерные физика и технологии
бакалавриат,15.03.01,Машиностроение
бакалавриат,15.03.02,Технологические машины и оборудование
бакалавриат,15.03.03,Прикладная механика
бакалавриат,15.03.04,Автоматизация технологических процессов и производств
бакалавриат,15.03.05,Конструкторско-технологическое обеспечение машиностроительных производств
бакалавриат,15.03.06,Мехатроника и робототехника
бакалавриат,16.03.01,Техническая физика
бакалавриат,16.03.02,Высокотехнологические плазменные и энергетические установки
бакалавриат,16.03.03,"Холодильная, криогенная техника и системы жизнеобеспечения"
бакалавриат,17.03.01,Корабельное вооружение
бакалавриат,18.03.01,Химическая технология
бакалавриат,18.03.02,"Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии"
бакалавриат,19.03.01,Биотехнология
бакалавриат,19.03.02,Продукты питания из растительного сырья
бакалавриат,19.03.03,Продукты питания животного происхождения
бакалавриат,19.03.04,Технология продукции и организация общественного питания
бакалавриат,20.03.01,Техносферная безопасность
бакалавриат,20.03.02,Природообустройство и водопользование
бакалавриат,21.03.01,Нефтегазовое дело
бакалавриат,21.03.02,Землеустройство и кадастры
бакалавриат,21.03.03,Геодезия и дистанционное зондирование
бакалавриат,22.03.01,Материаловедение и технологии материалов
бакалавриат,22.03.02,Металлургия
бакалавриат,23.03.01,Технология транспортных процессов
бакалавриат,23.03.02,Наземные транспортно-технологические комплексы
бакалавриат,23.03.03,Эксплуатация транспортно-технологических машин и комплексов
бакалавриат,24.03.01,Ракетные комплексы и космонавтика
бакалавриат,24.03.02,Системы управления движением и навигация
бакалавриат,24.03.03,Баллистика и гидроаэродинамика
бакалавриат,24.03.04,Авиастроение
бакалавриат,24.03.05,Двигатели летательных аппаратов
бакалавриат,25.03.01,Техническая эксплуатация летательных аппаратов и двигателей
бакалавриат,25.03.02,Техническая эксплуатация авиационных электросистем и пилотажно-навигационных комплексов
бакалавриат,25.03.03,Аэронавигация
бакалавриат,25.03.04,Эксплуатация аэропортов и обеспечение полетов воздушных судов
бакалавриат,26.03.01,Управление водным транспортом и гидрографическое обеспечение судоходства
бакалавриат,26.03.02,"Кораблестроение, океанотехника и системотехника объектов морской инфраструктуры"
бакалавриат,26.03.03,"Водные пути, порты и гидротехнические сооружения"
бакалавриат,27.03.01,Стандартизация и метрология
бакалавриат,27.03.02,Управление качеством
