Институт,Название группы,Курс,Код,Направление обучения
IEF,ЭБЦд-111,1,189787,38.03.05
IEF,ЭБЦ-111,1,185464,38.03.05
IEF,ЭГП-111,1,185437, 38.03.02
IEF,ЭГС-111,1,149827,38.03.02
IEF,ЭГУ-111,1,185433,38.03.02
IEF,ЭЛМ-111,1,188830,38.03.02
IEF,ЭУМ-111,1,196426,38.03.02
IEF,ЭУЦ-111,1,165540,38.03.02
IEF,ЭПИ-111,1,188726,09.03.03
IEF,ЭПИ-112,1,189007,09.03.03
IEF,ЭБР-111,1,149832,42.03.01
IEF,ЭБР-112,1,155531,42.03.01
IEF,ЭБП-111,1,196442,38.03.03
IEF,ЭЭФ-111,1,142598,38.03.01
IEF,ЭЭЛ-111,1,194854,38.03.01
IEF,ЭЭПд-111,1,194598,38.03.03
IEF,ЭЭБ-111,1,142596,38.03.01
IEF,ЭЭП-111,1,142604,38.03.01
IEF,ЭЭС-111,1,194811,38.03.01
IEF,ЭЭТ-111,1,194599,38.03.01
IEF,ЭЭУ-111,1,122722,38.03.01
IEF,ЭСБ-141,1,193992,38.05.01
IEF,ЭБЦд-211,2,189788,38.03.05
IEF,ЭБЦ-211,2,185465,38.03.05
IEF,ЭГП-211,2,185438, 38.03.02
IEF,ЭГС-211,2,141538,38.03.02
IEF,ЭГУ-211,2,185434,38.03.02
IEF,ЭГФ-211,2,141206,38.03.02
IEF,ЭЛМ-211,2,188997,38.03.02
IEF,ЭУМ-211,2,196455,38.03.02
IEF,ЭУЦ-211,2,194594,38.03.02
IEF,ЭПИ-211,2,189004,09.03.03
IEF,ЭПИ-212,2,189008,09.03.03
IEF,ЭБР-211,2,139722,42.03.01
IEF,ЭБП-211,2,196443,38.03.02
IEF,ЭЭФ-211,2,131674, 38.03.01
IEF,ЭЭПд-211,2,194597, 38.03.03
IEF,ЭЭЛ-211,2,194855, 38.03.01
IEF,ЭЭБ-211,2,131671, 38.03.01
IEF,ЭЭП-211,2,194415, 38.03.01
IEF,ЭЭС-211,2,194722, 38.03.01
IEF,ЭЭТ-211,2,194600,38.03.01
IEF,ЭЭУ-211,2,130745,38.03.01
IEF,ЭСБ-241,2,193993,38.05.01
IEF,ЭБЦд-311,3,189789,38.03.05
IEF,ЭБЦ-311,3,185466,38.03.05
IEF,ЭГУ-311,3,185435, 38.03.02
IEF,ЭГФ-311,3,139687, 38.03.02
IEF,ЭГП-311,3,185439,38.03.02
IEF,ЭГС-311,3,141375,38.03.02
IEF,ЭЛМ-311,3,188998,38.03.02
IEF,ЭУМ-311,3,196456,38.03.02
IEF,ЭУЦ-311,3,194593,38.03.02
IEF,ЭПИ-311,3,189005,09.03.03
IEF,ЭПИ-312,3,189029,09.03.03
IEF,ЭБР-311,3,140063,42.03.01
IEF,ЭБР-312,3,139973,42.03.01
IEF,ЭБП-311,3,196444,38.03.03
IEF,ЭЭФ-311,3,139793,38.03.01
IEF,ЭЭБ-311,3,140043,38.03.01
IEF,ЭЭП-311,3,139518,38.03.01
IEF,ЭЭС-311,3,139940,38.03.01
IEF,ЭЭЛ-311,3,194856,38.03.01
IEF,ЭЭПд-311,3,194596,38.03.01
IEF,ЭЭТ-311,3,139704,38.03.01
IEF,ЭЭУ-311,3,141615,38.03.01
IEF,ЭЭБд-321,3,196448,38.03.01
IEF,ЭЭБд-322,3,198800,38.03.01
IEF,ЭСБ-341,3,193994,38.05.01
IEF,ЭБЦд-411,4,189790,38.03.05
IEF,ЭПИ-411,4,189006,09.03.03
IEF,ЭСБ-441,4,193995,38.05.01
IEF,ЭСБ-442,4,193998,38.05.01
IEF,ЭСБ-542,5,193959,38.05.01
